,GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,RoofMatl_ClyTile,YearRemodAdd,Fireplaces,MSZoning_C (all),KitchenAbvGr,OverallCond_3,MSZoning_RM,BsmtFinType1_GLQ,BsmtQual_Ex,Condition2_PosN,Neighborhood_Crawfor,OverallCond_4,KitchenQual_Ex,SaleCondition_Abnorml,LotArea,MSSubClass_30,KitchenQual_Gd,OverallCond_7,OverallQual_8,Neighborhood_MeadowV,CentralAir_N,OverallQual_9,OverallQual_10,OverallQual_7,BsmtFullBath,OverallQual_6,Functional_Maj2,BldgType_Twnhs,OverallQual_1,ScreenPorch,SaleType_WD,Neighborhood_Edwards,Heating_Grav,WoodDeckSF,Exterior1st_BrkFace,OverallCond_6,OverallCond_8,OverallCond_9,Foundation_CBlock,BsmtExposure_Gd,Condition1_Artery,Functional_Mod,MSZoning_FV,Neighborhood_NridgHt,Neighborhood_StoneBr,BldgType_TwnhsE,LotConfig_CulDSac,GarageCond_Fa,Condition1_RRAe,Functional_Sev,BsmtFinType1_Unf,EnclosedPorch,PoolQC_Gd,HeatingQC_TA,HalfBath,Condition1_Feedr,BsmtCond_Ex,SalePrice
17,1296,1967,2,0,0,1967,0,0,2,0,0,0,0,0,0,0,0,0,10791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.40756495
18,1114,2004,2,1114,0,2004,0,0,1,0,0,1,0,0,0,0,0,0,13695,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.97665948
19,1339,1958,1,1029,0,1965,0,0,1,0,0,0,0,0,0,0,0,1,7560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.84222921
20,2376,2005,3,1158,0,2006,1,0,1,0,0,0,1,0,0,0,0,0,14215,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,12.69250311
21,1108,1930,1,637,0,1950,1,0,1,0,1,0,0,0,0,0,0,0,7449,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205,0,0,0,0,0,11.84510278
22,1795,2002,2,1777,0,2002,1,0,1,0,0,0,0,0,0,0,0,0,9742,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.34583459
23,1060,1976,2,1040,0,1976,1,0,1,0,1,1,0,0,0,0,0,0,4224,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11.7745202
24,1060,1968,1,1060,0,2001,1,0,1,0,0,0,0,0,0,0,0,0,8246,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,406,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94470788
25,1600,2007,3,1566,0,2007,1,0,1,0,0,0,0,0,0,0,0,0,14230,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12.45410391
26,900,1951,2,900,0,2000,0,0,1,0,0,0,0,0,0,0,0,0,7200,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,222,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.81154748
27,1704,2007,3,1704,0,2008,1,0,1,0,0,1,1,0,0,0,0,0,11478,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63134038
28,1600,1957,1,1484,0,1997,2,0,1,0,0,0,0,0,0,0,0,0,16321,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,288,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,12.24288662
29,520,1927,1,520,0,1950,0,0,1,0,1,0,0,0,0,0,0,0,6324,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87,0,0,0,1,0,11.13458902
30,1317,1920,1,649,0,1950,0,1,1,0,0,0,0,0,0,1,0,0,8500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,172,0,1,0,1,0,10.59663473
31,1228,1966,1,1228,0,2006,0,0,1,0,0,0,0,0,0,0,0,0,8544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,11.91404782
32,1234,2007,2,1234,0,2007,0,0,1,0,0,0,1,0,0,0,0,0,11049,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.10015642
33,1700,1959,2,1398,0,1959,1,0,1,0,0,0,0,0,0,0,0,0,10552,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.01672647
34,1561,2005,2,1561,0,2005,1,0,1,0,0,1,1,0,0,0,1,0,7313,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,203,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12.53357621
35,2452,2004,3,1117,0,2005,1,0,1,0,0,0,1,0,0,0,0,0,13418,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,113,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,12.64109656
36,1097,1994,2,1097,0,1995,0,0,1,0,0,0,0,0,0,0,0,0,10859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.88448902
37,1297,1954,2,1297,0,1990,1,0,1,0,0,0,0,0,0,0,0,0,8532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9381932
38,1057,1953,1,1057,0,2007,0,0,1,0,0,1,0,0,0,0,0,1,7922,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.59910316
39,1152,1955,0,0,0,1955,0,0,2,0,0,0,0,0,0,0,0,0,6040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.31447453
40,1324,1965,2,1088,0,1965,1,0,1,0,0,0,0,0,0,0,0,1,8658,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98292909
41,1328,1959,1,1350,0,1959,2,0,1,0,0,0,0,0,0,0,0,0,16905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.04355372
42,884,1983,2,840,0,1983,0,0,1,0,0,0,0,0,0,0,0,0,9180,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,240,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.87756858
43,938,1975,1,938,0,1980,0,0,1,0,0,0,0,0,0,0,0,0,9200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,145,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.77721096
44,1150,1959,1,1150,0,1959,0,0,1,0,0,0,0,0,0,0,0,0,7945,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.85651517
45,1752,2005,2,1752,0,2005,1,0,1,0,0,1,1,0,0,0,1,0,7658,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,196,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12.67576373
46,2149,2003,2,1434,0,2003,1,0,1,0,0,1,1,0,0,0,0,1,12822,0,1,0,0,0,0,0,0,1,1,0,0,0,0,198,1,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12.38708501
47,1656,2006,3,1656,0,2006,0,0,1,0,0,1,0,0,0,0,0,0,11096,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.42801548
48,1452,1920,0,736,0,2008,0,0,3,0,1,0,0,0,0,0,0,0,4456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102,0,0,0,0,0,11.6351431
49,955,1966,1,955,0,1966,0,0,1,0,0,0,0,0,0,0,0,0,7742,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75194237
50,1470,1997,2,794,0,1997,0,0,1,0,0,1,0,0,0,0,0,0,13869,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08390501
51,1176,1934,2,816,0,1950,1,0,1,0,1,0,0,0,0,0,0,0,6240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.6483301
52,816,1963,2,816,0,1963,0,0,1,0,1,0,0,0,0,0,0,0,8472,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,106,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.60823564
53,1842,1981,3,1842,0,1987,1,0,1,0,0,1,1,0,0,0,0,0,50271,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,857,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.86099861
54,1360,1955,2,384,0,1955,1,0,1,0,0,0,0,0,0,0,0,0,7134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.77528973
55,1425,1964,2,1425,0,1964,1,0,1,0,0,0,0,0,0,0,0,0,10175,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.10348606
56,1739,1999,2,970,0,2000,0,0,1,0,0,1,0,0,0,0,0,1,2645,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.05815252
57,1720,2004,2,860,0,2004,0,0,1,0,0,0,0,0,0,0,0,0,11645,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.18841771
58,2945,2006,3,1410,0,2006,1,0,1,0,0,0,1,0,0,0,0,0,13682,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,37,0,0,1,0,0,12.99175343
59,780,1972,1,780,0,1972,0,0,1,0,0,0,0,0,0,0,0,0,7200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,196,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.7352687
60,1158,2004,2,1158,0,2004,0,0,1,0,0,0,0,0,0,0,0,0,13072,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,11.97035031
61,1111,1920,1,530,0,1996,0,0,1,0,1,0,0,0,0,0,0,0,7200,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,144,0,1,0,0,0,11.5228758
62,1370,2006,2,1370,0,2006,1,0,1,0,0,1,0,0,0,0,0,0,6442,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,120,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12.21849517
63,1710,1921,2,576,0,1950,0,0,1,0,1,0,0,0,0,0,0,0,10300,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0,0,11.8493977
64,2034,1997,2,1057,0,1998,0,0,1,0,0,1,0,0,0,0,0,0,9375,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.29910751
65,2473,2004,3,1143,0,2005,1,0,1,0,0,0,1,0,0,0,0,0,9591,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,192,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,12.66665705
66,2207,1970,2,1947,0,1989,1,0,1,0,0,1,0,0,0,0,0,0,19900,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,301,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.10071213
67,1479,2003,2,1453,0,2003,0,0,1,0,0,1,0,0,0,0,0,0,10665,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.32829028
68,747,1945,1,747,0,1950,0,0,1,0,1,0,0,0,0,0,0,0,4608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.28978191
69,2287,1953,2,1304,0,1953,1,0,1,0,0,0,0,0,0,1,0,0,15593,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,114,0,1,0,0,0,12.32385568
70,2223,1973,2,2223,0,1973,2,0,1,0,0,0,0,0,0,0,0,0,13651,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,300,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4049235
71,845,1982,2,845,0,2006,0,0,1,0,0,0,0,0,0,0,0,0,7599,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.77143616
72,1718,1998,2,832,0,1998,1,0,1,0,0,0,0,0,0,0,0,0,10141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,291,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.1281111
73,1086,1954,2,1086,0,2003,0,0,1,0,0,0,0,0,0,0,0,0,10200,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.88379913
74,1605,1915,1,840,0,1950,0,0,2,0,1,0,0,0,0,0,0,0,5790,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,202,0,0,0,0,0,11.58431546
75,988,1973,1,462,0,1973,0,0,1,0,1,1,0,0,0,0,0,0,1596,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,120,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.41861479
76,952,1956,1,952,0,1956,0,0,1,0,0,0,0,0,0,0,0,0,8475,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.81857024
77,1285,1948,1,672,0,2001,0,0,1,0,1,0,0,0,0,0,0,0,8635,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.75194237
78,1768,1968,0,1768,0,1968,0,0,2,0,0,0,0,0,0,0,0,0,10778,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.82407989
79,1230,1910,2,440,0,1981,0,0,1,0,1,0,0,0,0,0,0,0,10440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,0,0,1,0,0,11.60823564
80,2142,1968,1,896,0,1968,1,0,1,0,0,0,0,0,0,0,0,0,13000,0,1,0,0,0,0,0,0,0,0,1,0,0,0,252,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12.17303279
81,1337,1998,2,1237,0,1998,0,0,1,0,1,1,1,0,0,0,0,0,4500,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.94145585
82,1563,2007,3,1563,0,2007,1,0,1,0,0,1,0,0,0,0,0,0,10206,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.40901349
83,1065,1960,2,1065,0,1960,0,0,1,0,0,0,0,0,0,0,0,0,8892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,11.74799759
84,1474,1995,2,384,0,1996,1,0,1,0,0,0,0,0,0,0,0,0,8530,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.03469103
85,2417,1991,2,1288,0,1992,1,0,1,0,0,0,0,0,0,0,0,0,16059,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.46843691
86,1560,2005,2,684,0,2005,1,0,1,0,0,0,0,0,0,0,0,0,11911,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,12.06681058
87,1224,2009,2,612,0,2009,0,0,1,0,0,0,0,0,0,0,0,0,3951,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,12.01066585
88,1526,1915,0,1013,0,1982,0,1,1,0,0,0,0,0,0,0,0,1,8470,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,156,0,1,0,1,0,11.35040654
89,990,1994,0,990,0,1995,0,0,1,0,0,1,0,0,0,0,0,0,8070,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.72480582
90,1040,1950,2,0,0,1950,0,0,1,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.60732614
91,1235,1961,2,1235,0,1961,0,0,1,1,0,0,0,0,0,0,0,1,8500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.49882654
92,964,1921,2,876,0,2006,0,0,1,0,0,0,0,0,1,0,0,0,13360,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,12.00456827
93,2291,1910,2,1214,0,1998,1,1,2,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,99,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.80484853
94,1786,1997,2,824,0,1997,0,0,1,0,0,1,0,0,0,0,0,0,9337,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.229545
