,LotFrontage,LotArea,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SalePrice,Alley_Grvl,LotShape_IR2,LandContour_Bnk,LotConfig_CulDSac,BldgType_TwnhsE,RoofStyle_Gable,RoofMatl_WdShngl,MasVnrType_BrkFace,ExterQual_TA,ExterCond_Fa,Foundation_PConc,BsmtExposure_Not_Avail,BsmtFinType2_Not_Avail,HeatingQC_Fa,CentralAir_N,Electrical_FuseF,KitchenQual_TA,Functional_Maj2,GarageFinish_RFn,GarageQual_Fa,PavedDrive_P,PoolQC_Not_Avail,Fence_Not_Avail,MiscFeature_Not_Avail,SaleType_New
44,70.0,7945,1959,1959,0.0,179,465,1150,1150,0,1150,1,1,0,3,1,6,0,1959.0,1,300,0,0,0,0,0,141000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
45,61.0,7658,2005,2005,412.0,456,1296,1752,1752,0,1752,1,2,0,2,1,6,1,2005.0,2,576,196,82,0,0,0,319900,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
46,48.0,12822,2003,2003,0.0,1351,83,1434,1518,631,2149,1,1,1,1,1,6,1,2003.0,2,670,168,43,0,198,0,239686,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
47,84.0,11096,2006,2006,0.0,24,1632,1656,1656,0,1656,0,2,0,3,1,7,0,2006.0,3,826,0,146,0,0,0,249700,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
48,33.0,4456,1920,2008,0.0,0,736,736,736,716,1452,0,2,0,2,3,8,0,0.0,0,0,0,0,102,0,0,113000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
49,66.0,7742,1966,1966,0.0,763,192,955,955,0,955,1,1,0,3,1,6,0,1966.0,1,386,0,0,0,0,0,127000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
50,0.0,13869,1997,1997,0.0,182,612,794,794,676,1470,0,2,0,3,1,6,0,1997.0,2,388,0,75,0,0,0,177000,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
51,52.0,6240,1934,1950,0.0,0,816,816,816,0,1176,0,1,0,3,1,6,1,1985.0,2,528,112,0,0,0,0,114500,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
52,110.0,8472,1963,1963,0.0,104,0,816,816,0,816,1,1,0,2,1,5,0,1963.0,2,516,106,0,0,0,0,110000,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
53,68.0,50271,1981,1987,0.0,1810,32,1842,1842,0,1842,2,0,1,0,1,5,1,1981.0,3,894,857,72,0,0,0,385000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
54,60.0,7134,1955,1955,0.0,384,0,384,1360,0,1360,0,1,0,3,1,6,1,1962.0,2,572,0,50,0,0,0,130000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
55,100.0,10175,1964,1964,272.0,490,935,1425,1425,0,1425,0,2,0,3,1,7,1,1964.0,2,576,0,0,0,0,0,180500,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
56,24.0,2645,1999,2000,456.0,649,321,970,983,756,1739,1,2,1,3,1,7,0,1999.0,2,480,115,0,0,0,0,172500,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
57,89.0,11645,2004,2004,0.0,0,860,860,860,860,1720,0,2,1,3,1,7,0,2004.0,2,565,0,70,0,0,0,196500,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
58,66.0,13682,2006,2006,1031.0,0,1410,1410,1426,1519,2945,0,3,1,3,1,10,1,2006.0,3,641,192,0,37,0,0,438780,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
59,60.0,7200,1972,1972,0.0,632,148,780,780,0,780,0,1,0,2,1,4,0,1973.0,1,352,196,0,0,0,0,124900,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
60,63.0,13072,2004,2004,0.0,941,217,1158,1158,0,1158,1,1,1,3,1,5,0,2006.0,2,576,0,50,0,0,0,158000,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
61,60.0,7200,1920,1996,0.0,0,530,530,581,530,1111,0,1,0,3,1,6,0,1935.0,1,288,0,0,144,0,0,101000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
62,44.0,6442,2006,2006,178.0,24,1346,1370,1370,0,1370,0,2,0,2,1,6,1,2006.0,2,484,120,49,0,0,0,202500,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
63,50.0,10300,1921,1950,0.0,0,576,576,902,808,1710,0,2,0,3,1,9,0,1990.0,2,480,12,11,64,0,0,140000,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
64,0.0,9375,1997,1998,573.0,739,318,1057,1057,977,2034,1,2,1,3,1,8,0,1998.0,2,645,576,36,0,0,0,219500,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
65,76.0,9591,2004,2005,344.0,0,1143,1143,1143,1330,2473,0,2,1,4,1,9,1,2004.0,3,852,192,151,0,0,0,317000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
66,0.0,19900,1970,1989,287.0,912,1035,1947,2207,0,2207,1,2,0,3,1,7,1,1970.0,2,576,301,0,0,0,0,180000,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
67,72.0,10665,2003,2003,167.0,1013,440,1453,1479,0,1479,1,2,0,3,1,7,0,2003.0,2,558,144,29,0,0,0,226000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
68,47.0,4608,1945,1950,0.0,0,747,747,747,0,747,0,1,0,2,1,4,0,1945.0,1,220,0,0,0,0,0,80000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
69,81.0,15593,1953,1953,0.0,603,701,1304,1304,983,2287,0,2,0,3,1,7,1,1953.0,2,667,0,21,114,0,0,225000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
70,95.0,13651,1973,1973,1115.0,1880,343,2223,2223,0,2223,1,2,0,3,1,8,2,1973.0,2,516,300,0,0,0,0,244000,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
71,69.0,7599,1982,2006,0.0,565,280,845,845,0,845,1,1,0,2,1,4,0,1987.0,2,360,0,0,0,0,0,129500,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
72,74.0,10141,1998,1998,40.0,0,832,832,885,833,1718,0,2,1,3,1,7,1,1998.0,2,427,0,94,0,291,0,185000,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
73,85.0,10200,1954,2003,104.0,320,404,1086,1086,0,1086,1,1,0,3,1,6,0,1989.0,2,490,0,0,0,0,0,144900,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
74,60.0,5790,1915,1950,0.0,0,840,840,840,765,1605,0,2,0,3,2,8,0,1915.0,1,379,0,0,202,0,0,107400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
75,21.0,1596,1973,1973,0.0,462,0,462,526,462,988,1,1,0,2,1,5,0,1973.0,1,297,120,101,0,0,0,91000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
76,0.0,8475,1956,1956,0.0,228,724,952,952,0,952,0,1,0,2,1,4,0,1956.0,1,283,0,0,0,0,0,135750,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
77,50.0,8635,1948,2001,0.0,336,295,672,1072,213,1285,1,1,0,2,1,6,0,1948.0,1,240,0,0,0,0,0,127000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
78,72.0,10778,1968,1968,0.0,0,1768,1768,1768,0,1768,0,2,0,4,2,8,0,0.0,0,0,0,0,0,0,0,136500,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
79,60.0,10440,1910,1981,0.0,0,440,440,682,548,1230,0,1,1,2,1,5,0,1966.0,2,440,74,0,128,0,0,110000,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
80,100.0,13000,1968,1968,576.0,448,448,896,1182,960,2142,0,2,1,4,1,8,1,1968.0,1,509,0,72,0,252,0,193500,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
81,32.0,4500,1998,1998,443.0,1201,36,1237,1337,0,1337,1,2,0,2,1,5,0,1998.0,2,405,0,199,0,0,0,153500,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
82,78.0,10206,2007,2007,468.0,33,1530,1563,1563,0,1563,0,2,0,3,1,6,1,2007.0,3,758,144,99,0,0,0,245000,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
83,80.0,8892,1960,1960,66.0,0,1065,1065,1065,0,1065,0,1,1,3,1,6,0,1974.0,2,461,74,0,0,0,0,126500,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
84,0.0,8530,1995,1996,22.0,0,384,384,804,670,1474,0,2,1,3,1,7,1,1995.0,2,400,120,72,0,0,0,168500,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
85,121.0,16059,1991,1992,284.0,0,1288,1288,1301,1116,2417,0,2,1,4,1,9,1,1991.0,2,462,127,82,0,0,0,260000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
86,122.0,11911,2005,2005,0.0,0,684,684,684,876,1560,0,2,1,3,1,6,1,2005.0,2,400,100,38,0,0,0,174000,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0
87,40.0,3951,2009,2009,76.0,0,612,612,612,612,1224,0,2,1,2,1,4,0,2009.0,2,528,0,234,0,0,0,164500,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1
88,105.0,8470,1915,1982,0.0,0,1013,1013,1013,0,1526,0,1,0,2,1,6,0,0.0,0,0,0,0,156,0,0,85000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
89,60.0,8070,1994,1995,0.0,588,402,990,990,0,990,1,1,0,3,1,5,0,0.0,0,0,0,0,0,0,0,123600,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
90,60.0,7200,1950,1950,0.0,0,0,0,1040,0,1040,0,1,0,2,1,4,0,1950.0,2,420,0,29,0,0,0,109900,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
91,85.0,8500,1961,1961,203.0,600,635,1235,1235,0,1235,0,1,0,2,1,6,0,1961.0,2,480,0,0,0,0,0,98600,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
92,80.0,13360,1921,2006,0.0,713,163,876,964,0,964,1,1,0,2,1,5,0,1921.0,2,432,0,0,44,0,0,163500,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
93,60.0,7200,1910,1998,0.0,1046,168,1214,1260,1031,2291,0,2,0,4,2,9,1,1900.0,2,506,0,0,0,99,0,133900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
94,69.0,9337,1997,1997,0.0,648,176,824,905,881,1786,1,2,1,3,1,7,0,1997.0,2,684,0,162,0,0,0,204750,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
95,0.0,9765,1993,1993,68.0,310,370,680,680,790,1470,0,2,1,3,1,6,1,1993.0,2,420,232,63,0,0,0,185000,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
96,78.0,10264,1999,1999,183.0,1162,426,1588,1588,0,1588,0,2,0,3,1,6,0,1999.0,2,472,158,29,0,0,0,214000,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
97,73.0,10921,1965,1965,48.0,520,440,960,960,0,960,1,1,0,3,1,6,0,1965.0,1,432,120,0,0,0,0,94750,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
98,85.0,10625,1920,1950,0.0,108,350,458,835,0,835,0,1,0,2,1,5,0,1920.0,1,366,0,0,77,0,0,83000,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0
99,77.0,9320,1959,1959,0.0,569,381,950,1225,0,1225,1,1,1,3,1,6,0,0.0,0,0,352,0,0,0,0,128950,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
100,0.0,10603,1977,2001,28.0,1200,410,1610,1610,0,1610,1,2,0,3,1,6,2,1977.0,2,480,168,68,0,0,0,205000,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
101,77.0,9206,1985,1985,336.0,0,741,741,977,755,1732,0,2,1,3,1,7,1,1985.0,2,476,192,46,0,0,0,178000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
102,64.0,7018,1979,1979,0.0,0,0,0,1535,0,1535,0,2,0,4,2,8,0,1979.0,2,410,0,0,0,0,0,118964,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0
103,94.0,10402,2009,2009,0.0,0,1226,1226,1226,0,1226,0,2,0,3,1,6,0,2009.0,3,740,0,36,0,0,0,198900,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
104,0.0,7758,1931,1950,600.0,224,816,1040,1226,592,1818,0,1,1,4,1,7,2,1951.0,1,240,0,0,0,184,0,169500,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0
105,75.0,9375,2003,2004,768.0,0,1053,1053,1053,939,1992,0,2,1,3,1,9,1,2003.0,2,648,140,45,0,0,0,250000,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
106,60.0,10800,1885,1995,0.0,0,641,641,1047,0,1047,0,1,0,2,1,6,0,1954.0,1,273,0,0,0,0,0,100000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
107,50.0,6000,1948,1950,0.0,104,516,789,789,0,789,0,1,0,2,1,5,0,1948.0,1,250,0,0,0,0,0,115000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
108,85.0,8500,1919,2005,0.0,0,793,793,997,520,1517,0,2,0,3,1,7,0,0.0,0,0,0,0,144,0,0,115000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
